key,ra,dec,name,host,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance
m_031,10.683916666666665,41.26566666666666,M 31,,,,,,,,,,,,24.45,0.06,0.06,Savino2022ApJ...938..101S
m_033,23.462,30.6603,M 33,m_031,,,,,,,,,,,24.67,0.06,0.06,Savino2022ApJ...938..101S
lmc,78.76,-69.19,LMC,mw,192.9,0.2,0.2,227.24,0.178,0.188,0.164,0.001,0.001,Choi2018ApJ...869..125C,18.477,0.024,0.024,Pietrzynski2019Natur.567..200P
smc,16.25,-72.42,SMC,lmc,59.4,4.1,4.1,,,,,,,Munoz2018ApJ...860...66M,18.99,0.1,0.1,Cioni2000A&A...359..601C
m_032,10.674125,40.86511111,M 32,m_031,0.47,0.05,0.05,159.0,2.0,2.0,0.25,0.02,0.02,McConnachie2012AJ....144....4M,24.44,0.06,0.06,Savino2022ApJ...938..101S
ngc_0205,10.09375,41.68638889,NGC 205,m_031,2.46,0.1,0.1,28.0,5.0,5.0,0.43,0.1,0.1,McConnachie2012AJ....144....4M,24.61,0.06,0.06,Savino2022ApJ...938..101S
ic_0010,5.102083333,59.29166667,IC 10,m_031,2.65,,,,,,0.19,0.02,0.02,McConnachie2012AJ....144....4M,24.43,0.03,0.03,McQuinn2017ApJ...834...78M
ngc_6822,296.2358333,-14.78916667,NGC 6822,,11.95,0.07,0.07,66.88,14.93,14.93,0.28,0.15,0.15,Higgs2021MNRAS.503..176H,23.78,0.05,0.05,Higgs2021MNRAS.503..176H
ic_1613,16.1991667,2.117777778,IC 1613,,7.57,0.05,0.05,90.49,1.02,1.02,0.2,0.05,0.05,Higgs2021MNRAS.503..176H,24.32,0.05,0.05,Savino2022ApJ...938..101S
wlm,0.4925,-15.46083333,WLM,,4.1,0.13,0.13,177.02,0.5,0.5,0.54,0.06,0.06,Higgs2021MNRAS.503..176H,24.977,0.059,0.059,Yan2025ApJ...986...54Y
